Breed Name,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Tolerates Being Alone,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Amount Of Shedding,Easy To Groom,General Health,Size,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Energy Level,Exercise Needs,Potential For Playfulness,Dog Breed Group_Herding Dogs,Dog Breed Group_Hound Dogs,Dog Breed Group_Hybrid Dogs,Dog Breed Group_Mixed Breed Dogs,Dog Breed Group_Non-Sporting Dogs,Dog Breed Group_Sporting Dogs,Dog Breed Group_Terrier Dogs,Dog Breed Group_Working Dogs
Collie Rough,12.0,3.6,3,4,2,5,5,4,4,5,2,3,3,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,1,0,0,0,0,0,0,0
Collie Smooth,12.0,3.6,3,4,2,5,5,4,4,4,4,3,3,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,1,0,0,0,0,0,0,0
Corgi Inu,14.0,3.4,4,3,3,3,3,3,2,5,2,3,2,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Corgidor,12.0,3.0,3,2,3,5,4,3,4,5,4,4,3,4.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0
Corman Shepherd,12.0,2.8,2,2,3,4,4,4,3,5,3,3,3,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Coton De Tulear,14.0,3.6,5,4,1,5,5,5,5,1,2,5,1,3.0,4.0,3.0,1.0,2.0,3.0,3.0,5.0,0,0,0,0,0,0,0,0
Croatian Sheepdog,13.0,3.0,3,2,3,4,3,2,2,5,2,4,3,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Curly Coat Retriever,10.0,2.8,1,3,3,5,5,4,3,3,3,2,3,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,0,0,0,0,0,1,0,0
Dachsador,13.0,2.8,4,2,2,4,4,3,4,2,4,4,2,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Dachshund,14.0,3.4,5,4,3,4,5,3,1,3,3,2,1,2.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,0,1,0,0,0,0,0,0
Dachshund Longhair,13.5,3.5,3,3,3,5,5,4,3,3,2,3,3,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,0,1,0,0,0,0,0,0
Dachshund Wirehair,13.5,3.5,3,3,3,4,4,3,3,3,2,3,3,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,0,1,0,0,0,0,0,0
Dalmatian,14.0,3.0,2,3,3,5,4,4,3,5,5,4,3,4.0,4.0,2.0,2.0,2.0,5.0,5.0,4.0,0,0,0,0,0,0,0,0
Dandie Dinmont,14.0,3.2,4,4,2,5,4,3,3,3,2,3,1,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,0,0,0,0,0,0,1,0
Daniff,10.0,2.4,2,2,1,5,4,4,3,2,1,3,5,4.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,0,0,0,1,0,0,0,0
Danish-Swedish Farmdog,12.0,3.2,3,2,4,5,5,5,3,5,4,5,2,5.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1
Deutscher Wachtelhund,13.0,2.8,3,3,2,5,4,4,3,3,3,5,4,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,0,0,0,0,0,1,0,0
Doberdor,12.0,1.8,1,1,2,3,3,3,1,1,4,4,5,1.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Doberman Pinsch,12.0,2.8,3,3,2,5,3,1,3,4,5,1,4,5.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,0,0,0,0,0,0,0,1
Docker,13.0,2.8,3,2,2,5,3,3,2,3,3,3,2,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
Dogo Argentino,12.0,1.8,1,1,2,4,2,2,2,1,4,3,4,2.0,3.0,2.0,5.0,2.0,4.0,4.0,3.0,0,0,0,0,0,1,0,0
Dogue De Bordeaux,10.0,3.0,5,1,2,5,5,1,1,3,5,2,4,2.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,0,0,0,0,0,0,0,1
Dorgi,14.0,3.2,4,4,1,4,4,4,3,2,4,4,2,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Dorkie,14.0,3.4,5,4,2,4,4,4,4,3,2,2,1,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,0,0,0,1,0,0,0,0
Doxiepoo,12.0,3.4,5,3,2,5,2,1,3,3,3,2,2,3.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Doxle,13.0,2.6,2,4,1,5,4,5,4,5,4,4,2,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Drentsche Patrijshond,12.0,3.2,3,2,3,5,4,4,3,4,3,4,3,2.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,0,0,0,0,0,0,0,1
Drever,14.0,2.6,4,3,2,5,5,4,3,3,3,5,3,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,0,1,0,0,0,0,0,0
Dutch Sheepdog,13.5,5,5,5,4,5,5,5,5,1,5,2,5,5.0,5.0,5.0,5.0,5.0,,,,1,0,0,0,0,0,0,0
Dutch Shepherd,14.0,3.0,3,3,2,4,4,4,2,4,3,4,3,5.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
English Cocker Spaniel,13.0,3.8,5,4,1,5,5,5,5,3,3,4,2,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,0
English Foxhound,12.0,2.6,1,2,4,4,4,5,3,3,5,4,3,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
English Setter,13.0,2.6,1,3,1,5,5,5,5,3,3,3,3,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0,0,0,0,0,1,0,0
English Shepherd,12.0,2.8,3,2,3,5,5,5,5,4,3,3,2,5.0,5.0,5.0,5.0,4.67,5.0,5.0,5.0,0,0,0,0,0,0,0,1
English Springer Spaniel,12.0,2.4,1,3,1,5,5,5,4,3,2,3,3,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Eng Toy Spaniel,11.0,3.0,4,4,1,5,1,4,4,5,4,2,2,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,0,0,0,0,0,0,0,0
Entlebucher,12.0,2.8,1,2,3,5,5,3,2,3,5,3,3,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Estrela Mountain Dog,13.0,2.6,1,3,3,5,5,3,2,4,2,4,4,4.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,1,0,0,0,0,0,0,0
Eurasier,13.0,2.8,4,3,1,3,5,4,2,4,3,4,4,4.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0
Field Spaniel,11.0,2.4,1,3,1,5,5,4,4,3,4,3,2,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Fila Brasileiro,10.0,2.0,1,1,3,3,3,2,1,2,4,3,5,2.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,0,0,0,0,0,0,0,1
Finnish Lapphund,14.0,3.8,4,4,2,5,5,5,4,3,4,4,3,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,1,0,0,0,0,0,0,0
Finnish Spitz,14.0,3.0,3,3,1,5,5,5,3,4,2,4,3,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Flat Coat Retriever,11.0,2.6,1,2,1,5,5,5,5,3,4,4,3,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Wire Hair Fox Terrier,12.0,3.0,3,3,3,4,4,3,3,2,2,4,2,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
French Bulldog,12.0,3.2,5,5,1,5,4,4,4,3,5,2,2,4.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,0,0,0,0,0,0,0,0
French Bullhuahua,12.0,2.8,4,3,2,4,3,2,3,3,4,4,1,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
French Spaniel,11.0,3.4,2,4,3,5,4,4,4,3,3,4,3,4.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,0,0,0,0,0,1,0,0
Frenchton,14.0,3.6,5,5,2,5,5,5,5,4,5,4,2,4.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,0,0,0,1,0,0,0,0
Frengle,12.0,3.4,4,4,3,5,5,4,4,3,5,4,3,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
German Longhaired Pointer,12.0,2.6,2,2,3,5,4,4,4,2,5,4,4,4.0,4.0,2.0,3.0,3.0,5.0,5.0,3.0,0,0,0,0,0,1,0,0
German Pinscher,13.0,3.2,3,3,3,5,3,2,2,3,5,4,3,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
German Shepherd,12.0,3.2,3,2,2,5,5,2,4,5,5,4,4,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
German Shepherd Pit Bull,11.0,2.0,1,1,1,5,5,4,4,5,5,4,4,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
German Shepherd Rottweiler Mix,11.0,3.4,3,4,3,4,4,3,3,5,3,3,4,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
German Sheprador,11.0,2.8,2,1,2,5,5,4,4,5,5,3,4,5.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
German Shorthair Pointer,14.0,2.0,1,2,1,5,5,4,3,2,5,3,3,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
German Spitz,14.0,3.0,4,2,3,5,4,3,3,4,2,4,1,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,0,0,0,0,0,0,0,0
German Wirehaired Pointer,13.0,2.8,2,3,2,5,3,3,2,2,4,4,4,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Schnauzer Giant,11.0,2.4,1,1,2,5,3,3,2,4,2,4,4,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Glen Of Imaal,14.0,3.0,4,2,3,5,5,2,3,1,5,5,1,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0
Goberian,12.0,2.6,1,2,2,4,4,4,2,2,5,4,4,2.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Goldador,12.0,3.6,2,4,4,5,5,5,5,3,4,4,4,4.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,0,0,1,0,0,0,0,0
Golden Cocker Retriever,14.0,2.4,1,4,1,5,4,4,3,4,4,4,3,4.0,4.0,2.0,2.0,3.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0
Golden Mountain Dog,12.0,2.4,1,2,2,5,5,4,3,4,2,3,5,4.0,4.0,2.0,2.0,3.0,4.0,5.0,5.0,0,0,0,1,0,0,0,0
Golden Retriever,11.0,2.8,2,3,1,5,5,5,5,5,2,2,3,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Golden Retriever Corgi,12.0,3.2,3,4,3,5,5,4,4,4,3,3,3,4.0,4.0,3.0,2.0,3.0,4.0,3.0,5.0,0,0,0,1,0,0,0,0
Golden Shepherd,12.0,3.0,2,2,1,5,5,3,5,5,2,3,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Goldendoodle,12.0,3.0,1,4,3,5,5,5,4,2,4,3,4,4.0,5.0,1.0,1.0,3.0,4.0,5.0,5.0,0,0,1,0,0,0,0,0
Gollie,14.0,2.6,1,4,2,5,5,4,4,4,3,3,3,4.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0
Gordon Setter,11.0,2.8,2,3,1,5,3,2,3,5,2,4,3,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Great Dane,8.0,2.0,1,1,1,5,5,5,5,5,5,4,5,5.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Great Pyrenees,11.0,2.8,1,1,3,5,4,4,3,5,4,2,5,1.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,0,0,0,0,0,0,0,1
Greater Swiss Mountain Dog,8.0,3.0,1,2,3,5,5,5,3,3,5,2,5,3.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,0,0,0,0,0,0,0,1
Swiss Hound,12.0,3.0,4,3,2,3,3,3,4,3,4,4,3,3.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,0,1,0,0,0,0,0,0
Greyador,12.0,2.4,3,2,1,5,5,5,5,5,5,4,4,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Greyhound,14.0,2.6,4,2,1,5,5,4,5,4,5,4,4,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,0,1,0,0,0,0,0,0
Hamiltonstovare,16.0,3.0,3,2,3,5,4,3,3,1,4,4,3,3.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,0,1,0,0,0,0,0,0
Hanoverian Scenthound,13.0,2.6,2,1,3,5,5,4,3,2,4,4,4,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1
Harrier,11.0,2.4,1,3,3,4,5,5,5,3,5,5,3,2.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Havanese,14.0,3.6,5,5,1,5,4,5,5,2,1,3,2,5.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,0,0,0,0,0,0,0,0
Havapoo,12.0,3.6,5,5,1,5,4,4,4,1,1,3,2,5.0,5.0,3.0,3.0,2.0,3.0,3.0,5.0,0,0,0,1,0,0,0,0
Hokkaido,12.0,3.0,3,2,3,4,4,3,3,4,1,5,3,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1
Horgi,14.0,2.8,2,2,2,5,5,4,5,4,3,3,2,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Hovawart,12.0,2.4,1,2,2,4,4,2,2,3,4,4,4,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1
Huskita,12.0,2.6,2,1,1,5,2,2,3,4,1,4,4,2.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,0,0,0,1,0,0,0,0
Huskydoodle,12.0,2.6,2,2,2,4,4,4,3,3,3,4,3,3.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Ibizan Hound,12.0,3.0,5,3,2,5,5,5,4,3,5,4,3,3.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Icelandic Sheepdog,14.0,2.4,1,1,2,4,4,2,2,5,1,3,3,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Irish Red And White Setter,12.0,2.6,1,3,1,5,4,4,4,3,3,2,3,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Irish Setter,13.0,2.8,1,3,2,5,5,5,5,4,3,2,4,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Irish Terrier,14.0,2.8,3,2,2,5,5,1,3,4,2,5,3,1.0,4.0,1.0,2.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,1,0
Irish Water Spaniel,11.0,3.2,3,2,3,5,5,4,5,1,3,2,3,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,0,0,0,0,0,1,0,0
Irish Wolfhound,7.0,2.4,1,2,2,5,5,5,5,3,3,1,5,3.0,4.0,3.0,5.0,1.0,2.0,4.0,4.0,0,1,0,0,0,0,0,0
Italian Greyhound,14.0,3.4,5,5,1,5,5,4,4,2,5,3,2,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0
Jack-A-Poo,14.0,3.6,4,4,2,5,5,5,4,2,2,3,2,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Jack Chi,16.0,2.8,4,2,3,4,5,4,3,2,5,4,2,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Jack Russell Terrier,12.0,3.0,3,2,3,5,4,5,4,3,3,4,2,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
Jackshund,14.0,3.0,4,2,3,5,4,4,3,3,3,3,2,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Japanese Chin,12.0,3.2,5,4,1,3,3,3,4,3,3,3,1,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,0,0,0,0,0,0,0,0
Japanese Spitz,13.0,3.4,4,4,2,4,5,4,2,3,4,3,2,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0
Jindo,14.0,3.0,3,2,2,5,3,3,4,5,1,4,3,2.0,5.0,2.0,5.0,,4.0,5.0,4.0,0,0,0,0,0,1,0,0
Kai Ken,14.0,2.6,2,2,3,4,4,3,2,4,2,4,3,3.0,5.0,2.0,5.0,2.0,5.0,5.0,3.0,0,0,0,0,0,0,0,0
Karelian Bear Dog,12.0,2.8,2,1,2,4,3,1,2,3,4,4,3,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1
Keeshond,14.0,3.8,4,4,1,5,5,4,4,5,3,3,3,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,0,0,0,0,0,0,0,0
Kerry Blue Terrier,14.0,3.0,3,2,3,4,4,2,5,1,2,3,3,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,0,0,0,0,0,0,1,0
King Shepherd,10.0,3.4,4,2,2,4,4,5,4,4,4,3,5,4.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,0,0,1,0,0,0,0,0
Kishu Ken,11.0,3.2,3,2,3,3,3,2,2,4,3,4,3,4.0,5.0,2.0,4.0,1.0,3.0,4.0,2.0,0,0,0,0,0,0,0,1
Komondor,11.0,2.4,2,1,1,5,3,1,1,3,2,2,4,4.0,4.0,3.0,2.0,5.0,2.0,4.0,4.0,0,0,0,0,0,0,0,1
Kooikerhondje,13.0,3.4,4,3,2,3,2,2,2,3,2,5,3,1.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,0,0,0,0,0,1,0,0
Kuvasz,11.0,2.6,1,1,1,5,1,2,1,4,4,4,5,2.0,4.0,1.0,1.0,3.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1
Kyi-Leo,14.0,4.2,5,4,4,5,5,4,3,2,2,3,2,3.0,3.0,4.0,1.0,4.0,4.0,2.0,4.0,0,0,0,1,0,0,0,0
Lab Pointer,12.0,2.6,1,4,1,5,4,3,4,2,4,4,4,5.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Labernese,9.0,3.0,2,4,1,4,5,4,3,4,3,2,4,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Labmaraner,11.0,2.6,1,4,1,4,5,4,3,1,4,4,4,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,0,0,0,1,0,0,0,0
Labrabull,12.0,2.4,2,2,1,5,5,2,5,5,5,3,4,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0
Labradane,10.0,2.4,1,2,2,5,5,4,3,2,4,4,5,3.0,4.0,2.0,3.0,1.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Labradoodle,13.0,3.8,3,4,4,5,4,5,5,3,4,4,4,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,0,0,1,0,0,0,0,0
Labradoodle Miniature,13.0,3.8,3,4,4,5,4,5,5,3,4,4,4,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,0,0,1,0,0,0,0,0
Labrador Retriever,11.0,2.8,1,3,2,5,5,5,5,5,5,3,4,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Labrastaff,12.0,2.4,2,2,1,4,4,3,4,4,3,4,4,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Labsky,11.0,2.6,2,2,2,5,4,3,3,4,2,3,4,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Lagotto Romagnolo,16.0,3.2,2,4,3,3,3,3,3,1,1,4,2,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,0,0,0,0,0,1,0,0
Lakeland Terrier,14.0,3.2,4,3,2,5,4,3,3,2,2,5,2,2.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,0,0,0,0,0,0,1,0
Lancashire Heeler,12.0,2.6,2,2,3,4,3,3,2,3,4,4,1,3.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,1,0,0,0,0,0,0,0
Landseer,11.0,3.0,3,2,3,5,5,4,4,3,2,3,2,3.0,2.5,4.0,4.0,4.0,4.0,,,0,0,0,0,0,0,0,1
Leonberger,11.0,2.6,1,1,2,5,4,3,2,5,4,1,5,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1
Lhasa Apso,14.0,4.4,5,5,4,4,4,3,2,3,1,3,1,3.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,0,0,0,0,0,0,0,0
Lhasapoo,12.0,3.0,4,2,2,4,3,3,1,1,3,4,3,3.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Lowchen,14.0,3.2,5,4,1,5,5,4,4,3,3,5,1,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Maltese,14.0,3.2,5,5,1,5,3,4,2,2,2,3,1,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,0,0,0,0,0,0,0,0
Maltese Shih Tzu,13.0,3.6,5,5,3,4,3,3,3,1,2,2,1,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,0,0,1,0,0,0,0,0
Maltipoo,12.0,3.6,5,5,1,5,4,4,4,1,3,2,2,5.0,4.0,3.0,2.0,5.0,3.0,2.0,4.0,0,0,1,0,0,0,0,0
Manchester Terrier,15.0,3.0,5,3,3,4,3,3,3,3,5,2,2,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0
Maremma Sheepdog,12.0,2.4,1,1,2,4,4,4,1,5,2,5,4,1.0,5.0,2.0,1.0,2.0,4.0,4.0,2.0,0,0,0,0,0,0,0,1
Mastador,11.0,2.8,1,2,3,5,5,3,3,4,4,4,4,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Mastiff,8.0,2.6,2,1,3,5,5,2,2,3,3,3,5,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,0,0,0,0,0,0,0,1
Miniature Pinscher,12.0,3.2,5,3,2,5,3,2,3,2,5,3,1,3.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Miniature Poodle,14.0,4.0,5,5,2,5,5,4,4,1,1,2,4,5.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Miniature Schnauzer,13.0,4.0,4,3,5,5,3,3,3,2,2,3,2,5.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,0,0,0,0,0,0,1,0
Morkie,12.0,2.4,3,2,2,4,3,2,3,1,3,4,1,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Mountain Cur,13.0,2.2,1,1,2,4,4,3,2,2,4,5,4,2.0,4.0,2.0,5.0,3.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1
Feist,14.0,2.8,2,1,3,5,3,3,2,3,5,4,2,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Mudi,13.0,3.0,2,4,2,4,2,2,2,3,4,4,2,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Neapolitan Mastiff,9.0,1.8,2,1,1,5,4,2,1,3,3,2,5,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1
Newfoundland,9.0,2.8,1,3,1,5,5,4,4,5,2,1,5,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1
Norfolk Terrier,14.0,4.0,4,5,3,5,4,5,4,1,4,5,1,5.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Northern Inuit Dog,14.0,2.4,1,1,1,5,4,3,5,5,2,4,4,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0,0,1,0,0,0,0,0
Norwegian Buhund,14.0,3.6,3,3,4,5,5,3,3,3,2,4,3,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,1,0,0,0,0,0,0,0
Norwegian Elkhound,14.0,3.8,4,4,2,5,4,4,4,5,3,4,3,2.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,0,1,0,0,0,0,0,0
Norwegian Lundehund,11.0,2.4,1,1,2,5,5,5,5,5,4,3,3,4.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,0,0,0,0,0,0,0,1
Norwich Terrier,12.0,3.6,5,3,2,5,5,5,5,2,2,4,1,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,1,0
Nova Scotia Duck Tolling Retriever,12.0,3.4,5,3,2,5,5,4,4,3,5,4,3,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Old English Sheepdog,11.0,3.8,5,4,2,5,4,4,4,1,1,4,4,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Otterhound,11.0,3.2,1,4,5,5,5,5,4,4,2,4,4,2.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Papillon,14.0,3.2,5,5,1,5,3,4,5,2,3,3,1,5.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,0,0,0,0,0,0,0,0
Papipoo,12.0,3.4,5,5,1,5,3,4,4,1,2,3,1,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Parson Russell Terrier,12.0,3.0,3,2,3,5,4,5,4,3,3,4,2,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
